route_id,route_short_name,route_long_name,route_type,route_text_color,route_color,agency_id
PNJ4E,PNJ4E,PANAJI - HARBOUR via CORTALIM,3,00b33c,,ktcl-goa-in
MRG352MB,MRG352MB,PANAJI - CURCHOREM,3,cc33ff,,ktcl-goa-in
PNJ121IS,PNJ121IS,PANAJI - BELGAVI CBT via CHORLA,3,,,ktcl-goa-in
PNJ120IS,PNJ120IS,PANAJI - BELGAVI CBT via SAWANTWADI,3,,,ktcl-goa-in
PRV129,PRV129,PANAJI - BETUL,3,,,ktcl-goa-in
PRV48,PRV48,PANAJI - BHATWADI TK,3,,,ktcl-goa-in
VSD25,VSD25,PANAJI - BHUTWADI via PEDNE,3,,,ktcl-goa-in
PRV57,PRV57,PANAJI - BICHOLIM,3,,,ktcl-goa-in
PRV16,PRV16,PANAJI - BICHOLIM via MAPUSA,3,,,ktcl-goa-in
PNJ90,PNJ90,PANAJI - BMBOLI IPHB,3,,,ktcl-goa-in
MRG100,MRG100,PANAJI - CIPLA via CORTALIM,3,,,ktcl-goa-in
MRG74,MRG74,PANAJI - COLLEM via PONDA,3,,,ktcl-goa-in
PNJ26,PNJ26,PANAJI - COPARDE via MAPUSA,3,,,ktcl-goa-in
PNJ112,PNJ112,PANAJI - BICHOLIM via MARCEL,3,,,ktcl-goa-in
PNJ95,PNJ95,PANAJI - TIN BLD/COL via SAI SERVICE,3,,,ktcl-goa-in
PNJ4,PNJ4,PANAJI - HARBOUR via CORTALIM,3,,,ktcl-goa-in
PRV103,PRV103,PANAJI - HARMAL,3,,,ktcl-goa-in
MRG120IS,MRG120IS,PANAJI - KARWAR via MARGAO,3,,,ktcl-goa-in
PRV152IS,PRV152IS,PANAJI - KER via DODAMARG,3,,,ktcl-goa-in
PRV105,PRV105,PANAJI - KERI,3,,,ktcl-goa-in
PRV107,PRV107,PANAJI - KERI,3,,,ktcl-goa-in
PRV104,PRV104,PANAJI - KERI via PEDNE,3,,,ktcl-goa-in
PRV150IS,PRV150IS,PANAJI - KOLHAPUR via GAGANBAWDA,3,,,ktcl-goa-in
PRV95,PRV95,PANAJI - KORGAO via ARABO,3,,,ktcl-goa-in
PRV26,PRV26,PANAJI - KARANZOL via MAPUSA,3,,,ktcl-goa-in
PRV94,PRV94,PANAJI - KORGAO via PEDNE,3,,,ktcl-goa-in
PNJ45,PNJ45,PANAJI - KUDCHRE TMP,3,,,ktcl-goa-in
PRV36,PRV36,PANAJI - KUMARWADA,3,,,ktcl-goa-in
PRV71,PRV71,PANAJI - MADEL,3,,,ktcl-goa-in
PNJ66,PNJ66,PANAJI - MALPAN via PONDA,3,,,ktcl-goa-in
PNJ181,PNJ181,PANAJI - KUDCHRE TMP,3,,,ktcl-goa-in
PRV3,PRV3,PANAJI - HARBOUR via CORTALIM,3,,,ktcl-goa-in
VSD22,VSD22,PANAJI - KAMORCOND,3,,,ktcl-goa-in
MRG199,MRG199,PANAJI - KALAY,3,,,ktcl-goa-in
PRV98,PRV98,PANAJI - HARMAL,3,,,ktcl-goa-in
PRV186,PRV186,PANAJI - HARMAL via ARABO,3,,,ktcl-goa-in
PNJ55,PNJ55,PANAJI - HARMAL via CALANGUTE,3,,,ktcl-goa-in
