fare_id,price,currency_type,payment_method,transfers,agency_id,rule
ALL:LINRA:80,60,INR,0,,ktcl-goa-in,ALL:LINRA:80
ALL:LINRA:81,65,INR,0,,ktcl-goa-in,ALL:LINRA:81
ALL:LINRA:82,65,INR,0,,ktcl-goa-in,ALL:LINRA:82
ALL:LINRA:83,65,INR,0,,ktcl-goa-in,ALL:LINRA:83
ALL:LINRA:84,65,INR,0,,ktcl-goa-in,ALL:LINRA:84
ALL:LINRA:85,65,INR,0,,ktcl-goa-in,ALL:LINRA:85
ALL:LINRA:86,65,INR,0,,ktcl-goa-in,ALL:LINRA:86
ALL:LINRA:87,65,INR,0,,ktcl-goa-in,ALL:LINRA:87
ALL:LINRA:88,65,INR,0,,ktcl-goa-in,ALL:LINRA:88
ALL:LINRA:89,70,INR,0,,ktcl-goa-in,ALL:LINRA:89
ALL:LINRA:90,70,INR,0,,ktcl-goa-in,ALL:LINRA:90
ALL:EINRA:1,10,INR,0,,ktcl-goa-in,ALL:EINRA:1
ALL:EINRA:2,10,INR,0,,ktcl-goa-in,ALL:EINRA:2
ALL:EINRA:3,10,INR,0,,ktcl-goa-in,ALL:EINRA:3
ALL:EINRA:4,20,INR,0,,ktcl-goa-in,ALL:EINRA:4
ALL:EINRA:5,20,INR,0,,ktcl-goa-in,ALL:EINRA:5
ALL:EINRA:6,20,INR,0,,ktcl-goa-in,ALL:EINRA:6
ALL:EINRA:7,20,INR,0,,ktcl-goa-in,ALL:EINRA:7
ALL:EINRA:8,20,INR,0,,ktcl-goa-in,ALL:EINRA:8
ALL:EINRA:9,25,INR,0,,ktcl-goa-in,ALL:EINRA:9
ALL:EINRA:10,25,INR,0,,ktcl-goa-in,ALL:EINRA:10
ALL:EINRA:11,25,INR,0,,ktcl-goa-in,ALL:EINRA:11
ALL:EINRA:12,25,INR,0,,ktcl-goa-in,ALL:EINRA:12
ALL:EINRA:13,25,INR,0,,ktcl-goa-in,ALL:EINRA:13
ALL:EINRA:14,25,INR,0,,ktcl-goa-in,ALL:EINRA:14
ALL:EINRA:15,25,INR,0,,ktcl-goa-in,ALL:EINRA:15
ALL:EINRA:16,25,INR,0,,ktcl-goa-in,ALL:EINRA:16
ALL:EINRA:17,30,INR,0,,ktcl-goa-in,ALL:EINRA:17
ALL:EINRA:18,30,INR,0,,ktcl-goa-in,ALL:EINRA:18
ALL:EINRA:19,30,INR,0,,ktcl-goa-in,ALL:EINRA:19
ALL:EINRA:20,30,INR,0,,ktcl-goa-in,ALL:EINRA:20
ALL:EINRA:21,30,INR,0,,ktcl-goa-in,ALL:EINRA:21
ALL:EINRA:22,30,INR,0,,ktcl-goa-in,ALL:EINRA:22
ALL:EINRA:23,30,INR,0,,ktcl-goa-in,ALL:EINRA:23
ALL:EINRA:24,30,INR,0,,ktcl-goa-in,ALL:EINRA:24
ALL:EINRA:25,35,INR,0,,ktcl-goa-in,ALL:EINRA:25
ALL:EINRA:26,35,INR,0,,ktcl-goa-in,ALL:EINRA:26
ALL:EINRA:27,35,INR,0,,ktcl-goa-in,ALL:EINRA:27
ALL:EINRA:28,35,INR,0,,ktcl-goa-in,ALL:EINRA:28
ALL:EINRA:29,35,INR,0,,ktcl-goa-in,ALL:EINRA:29
ALL:EINRA:30,35,INR,0,,ktcl-goa-in,ALL:EINRA:30
ALL:EINRA:31,35,INR,0,,ktcl-goa-in,ALL:EINRA:31
ALL:EINRA:32,35,INR,0,,ktcl-goa-in,ALL:EINRA:32
ALL:EINRA:33,40,INR,0,,ktcl-goa-in,ALL:EINRA:33
ALL:EINRA:34,40,INR,0,,ktcl-goa-in,ALL:EINRA:34
ALL:EINRA:35,40,INR,0,,ktcl-goa-in,ALL:EINRA:35
ALL:EINRA:36,40,INR,0,,ktcl-goa-in,ALL:EINRA:36
ALL:EINRA:37,40,INR,0,,ktcl-goa-in,ALL:EINRA:37
ALL:EINRA:38,40,INR,0,,ktcl-goa-in,ALL:EINRA:38
ALL:EINRA:39,40,INR,0,,ktcl-goa-in,ALL:EINRA:39
ALL:EINRA:40,40,INR,0,,ktcl-goa-in,ALL:EINRA:40
ALL:EINRA:41,45,INR,0,,ktcl-goa-in,ALL:EINRA:41
ALL:EINRA:42,45,INR,0,,ktcl-goa-in,ALL:EINRA:42
ALL:EINRA:43,45,INR,0,,ktcl-goa-in,ALL:EINRA:43
ALL:EINRA:44,45,INR,0,,ktcl-goa-in,ALL:EINRA:44
ALL:EINRA:45,45,INR,0,,ktcl-goa-in,ALL:EINRA:45
ALL:EINRA:46,45,INR,0,,ktcl-goa-in,ALL:EINRA:46
ALL:EINRA:47,45,INR,0,,ktcl-goa-in,ALL:EINRA:47
ALL:EINRA:48,45,INR,0,,ktcl-goa-in,ALL:EINRA:48
ALL:EINRA:49,50,INR,0,,ktcl-goa-in,ALL:EINRA:49
ALL:EINRA:50,50,INR,0,,ktcl-goa-in,ALL:EINRA:50
ALL:EINRA:51,50,INR,0,,ktcl-goa-in,ALL:EINRA:51
ALL:EINRA:52,50,INR,0,,ktcl-goa-in,ALL:EINRA:52
ALL:EINRA:53,50,INR,0,,ktcl-goa-in,ALL:EINRA:53
ALL:EINRA:54,50,INR,0,,ktcl-goa-in,ALL:EINRA:54
ALL:EINRA:55,50,INR,0,,ktcl-goa-in,ALL:EINRA:55
ALL:EINRA:56,50,INR,0,,ktcl-goa-in,ALL:EINRA:56
ALL:EINRA:57,55,INR,0,,ktcl-goa-in,ALL:EINRA:57
ALL:EINRA:58,55,INR,0,,ktcl-goa-in,ALL:EINRA:58
ALL:EINRA:59,55,INR,0,,ktcl-goa-in,ALL:EINRA:59
ALL:EINRA:60,55,INR,0,,ktcl-goa-in,ALL:EINRA:60
ALL:EINRA:61,55,INR,0,,ktcl-goa-in,ALL:EINRA:61
ALL:EINRA:62,55,INR,0,,ktcl-goa-in,ALL:EINRA:62
ALL:EINRA:63,55,INR,0,,ktcl-goa-in,ALL:EINRA:63
ALL:EINRA:64,55,INR,0,,ktcl-goa-in,ALL:EINRA:64
ALL:EINRA:65,60,INR,0,,ktcl-goa-in,ALL:EINRA:65
ALL:EINRA:66,60,INR,0,,ktcl-goa-in,ALL:EINRA:66
ALL:EINRA:68,60,INR,0,,ktcl-goa-in,ALL:EINRA:68
