trip_id,route_id,service_id,trip_headsign,direction_id
G1:16:40:PNJ:G2:59,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:17:00:PNJ:G3:60,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:17:30:PNJ:G1:61,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:17:40:PNJ:G2:62,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:18:00:PNJ:G3:63,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:18:30:PNJ:G1:64,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:18:45:PNJ:G2:65,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G1:19:00:PNJ:G3:66,G1,FULLW,PANAJI-Church Square N-Goa Art College-Kala Academy-PANAJI,0
G2:07:30:PNJ:G8:67,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:08:15:PNJ:G6:68,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:08:25:PNJ:G7:69,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:08:45:PNJ:G8:70,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:09:15:PNJ:G6:71,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:09:25:PNJ:G7:72,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:09:45:PNJ:G8:73,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:10:15:PNJ:G6:74,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:10:30:PNJ:G8:75,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:10:45:PNJ:G7:76,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:11:15:PNJ:G8:77,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:11:45:PNJ:G7:78,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:12:15:PNJ:G8:79,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:12:45:PNJ:G7:80,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:13:15:PNJ:G8:81,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:13:45:PNJ:G6:82,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:14:15:PNJ:G7:83,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:14:30:PNJ:G6:84,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:15:15:PNJ:G6:85,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:16:15:PNJ:G6:86,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:16:30:PNJ:G7:87,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:16:45:PNJ:G8:88,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:17:15:PNJ:G6:89,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:17:30:PNJ:G7:90,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:17:45:PNJ:G8:91,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:18:15:PNJ:G6:92,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:18:25:PNJ:G7:93,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:18:45:PNJ:G8:94,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:19:30:PNJ:G6:95,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
G2:20:00:PNJ:G8:96,G2,FULLW,PANAJI-Kala Academy-Goa Art College-Church Square N-PANAJI,0
I1:06:00:PNJ:I1:97,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:06:15:PNJ:I2:98,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:06:30:PNJ:I3:99,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:06:45:PNJ:I1:100,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:07:00:PNJ:I2:101,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:07:15:PNJ:I3:102,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:07:30:PNJ:I1:103,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:07:45:PNJ:I2:104,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:08:00:PNJ:I3:105,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:08:15:PNJ:I1:106,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:08:30:PNJ:I2:107,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:08:45:PNJ:I3:108,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:09:00:PNJ:I1:109,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:09:15:PNJ:I2:110,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:09:30:PNJ:I3:111,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:09:45:PNJ:I1:112,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:10:00:PNJ:I2:113,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:10:15:PNJ:I3:114,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:10:30:PNJ:I1:115,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
