stop_id,stop_name,stop_lat,stop_lon,location_type,zone_id
3434,Kutharwada,15.2814965173,74.184585552,0,3434
3435,Her Farm Bendel,15.7083826095,73.863588141,0,3435
3436,Bhatpavni,15.7299269634,73.8119592788,0,3436
3437,Bhatpavni,15.7302987366,73.8124036336,0,3437
3438,Khajne Village,15.7266276407,73.8213728212,0,3438
3439,Khajne Village,15.7271440006,73.8218815455,0,3439
3440,Vitla Devi,15.7297179081,73.8248888069,0,3440
3441,Nigal Junction,15.7315312333,73.8272920661,0,3441
3442,Nigal Junction,15.7317790802,73.8276720489,0,3442
3443,Zholambe Panchayat,15.8249258558,73.9537875158,0,3443
3444,Zholambe,15.841723585,73.9526034764,0,3444
3445,Zholambe Panchayat,15.8242239444,73.9534165668,0,3445
3446,Ambeli Cross,15.8220493926,73.9573364316,0,3446
3447,Ambeli Cross,15.8220029419,73.9574965569,0,3447
3448,Talkat,15.7960852788,73.9570825192,0,3448
3449,Bhatwadi,15.8083287915,73.9618001726,0,3449
3450,Bhatwadi,15.8090307579,73.9622875138,0,3450
3451,Nagre,15.8038075152,73.9608953615,0,3451
3452,Nagre,15.8043236787,73.9611037495,0,3452
3453,Podaye,15.7495951854,73.9099264443,0,3453
3454,Podaye,15.7494506206,73.9101347823,0,3454
3455,Karmalwadi,15.7449415518,73.9066074243,0,3455
3456,Karmalwadi,15.7452719925,73.9069874195,0,3456
3457,Ugade,15.7708384409,73.9411146964,0,3457
3458,Ugade,15.7707403536,73.9413927909,0,3458
3459,Tamsher,15.3657525145,73.987555145,0,3459
3460,Tamsher,15.3658766582,73.9878489654,0,3460
3461,Dabe Tisk,15.1378730565,73.9891343243,0,3461
3462,Dabe Tisk,15.1376244992,73.9897068924,0,3462
3463,Kel Junction,15.6455260874,73.8879277215,0,3463
3464,Kel Junction,15.6457947014,73.8882110664,0,3464
3465,Salgaonkar Mines,15.6319316799,73.905667369,0,3465
3466,Salgaonkar Mines,15.6320143359,73.9058755992,0,3466
3467,Jamblikade,15.6378201377,73.9026418372,0,3467
3468,Jamblikade,15.6381300886,73.903129023,0,3468
3469,Kanur,15.9774278987,74.1341175781,0,3469
3470,Kanur,15.9773247547,74.1346479926,0,3470
3471,Turkewadi Phata,15.8878468717,74.342800213,0,3471
3472,Turkewadi Phata,15.8880016563,74.3430515943,0,3472
3473,Assonora Mansher,15.615069569,73.9107271788,0,3473
3474,Assonora Mansher,15.6153382229,73.9108281053,0,3474
3475,Ayee Check Post,15.6154356966,74.0121190155,0,3475
3476,Ayee Check Post,15.6156371867,74.0123916033,0,3476
3477,Matne,15.6215113139,73.9960901344,0,3477
3478,Matne school,15.6276853367,73.9861782357,0,3478
3479,Matne school,15.6279746385,73.9864508349,0,3479
3480,Vazare,15.6482471046,74.0019300134,0,3480
3481,Girode,15.6698757407,73.9944078477,0,3481
3482,Khokral Titha,15.6886317005,74.0568052048,0,3482
3483,Khokral Titha,15.6887091689,74.0569759359,0,3483
3484,Dhuriwada,15.6821238909,74.0540629603,0,3484
3485,Dhuriwada,15.6827849757,74.0544643555,0,3485
3486,Kajulwadi,15.7128608228,74.0279135331,0,3486
3487,Kajulwadi,15.7129847576,74.0281003797,0,3487
3488,Paikul Titha,15.6964661725,74.0388730604,0,3488
3489,Paikul Titha,15.6955520768,74.0396070619,0,3489
3490,Paithwado,15.1979394005,74.0075310785,0,3490
3491,Paithwado,15.1980429364,74.0077818344,0,3491
3492,Moddevaddo,15.1922183835,74.0117823824,0,3492
3493,Gangor,15.188008972,74.0126074354,0,3493
3494,Tamerao,15.186455865,74.0073487557,0,3494
3496,Saipem Club,15.521621784,73.7920910167,0,3496
3497,Saipem Club,15.5216217839,73.7924278928,0,3497
3498,St Anthony Chapel,15.5363281971,73.7642100803,0,3498
3499,St Anthony Chapel,15.5369277313,73.7644074948,0,3499
3500,Jambeleshwar,15.5296161102,73.7646330519,0,3500
3501,Jambeleshwar,15.5297556616,73.764825096,0,3501
3502,Anjuna - Mapusa Cross,15.5875012782,73.7601805769,0,3502
3503,Anjuna - Mapusa Cross,15.5877699682,73.7603994955,0,3503
3504,Bauta Wado Anjuna,15.5928041023,73.7595451892,0,3504
3505,Bauta Wado Anjuna,15.5928906493,73.7596729176,0,3505
3506,Swagat Bar and Restaurant,15.6109932338,73.766438838,0,3506
3507,Swagat Bar and Restaurant,15.6109622345,73.7668187106,0,3507
3508,Tadye,15.439903438,74.2085013737,0,3508
3509,Dabem,15.113852796,73.9879695869,0,3509
3510,Morpirla,15.11438389,74.0001399752,0,3510
3511,Morpirla,15.1139695817,74.0007983533,0,3511
3512,Vantem,15.1392494237,74.0100892738,0,3512
3513,Vantem,15.138959442,74.0098035362,0,3513
3514,Kanibag,15.1209246208,74.0138310663,0,3514
3515,Kanibag,15.1211317681,74.0133521935,0,3515
3516,Gallim,15.1281603404,74.0149069771,0,3516
3517,Gallim,15.1276010603,74.0146856027,0,3517
3518,Mollar,15.1172035441,74.0044099871,0,3518
3519,Tapobhumi,15.4521832943,73.9613450179,0,3519
3520,Tapobhumi,15.4521832942,73.9615316276,0,3520
3521,Madkai IDC,15.427667118,73.9599846287,0,3521
3522,Marwada,15.4159471176,73.9570494097,0,3522
3523,Karnale,15.4148966467,73.9633329883,0,3523
3526,Kapileshwari,15.3791072011,74.00095489,0,3526
3527,Don Khamb,15.3855285965,73.9960296955,0,3527
3528,SRM Collage,16.0022493052,73.6923199044,0,3528
3529,SRM Collage,16.0033476475,73.6923675443,0,3529
3530,Hasnadi,16.4692159209,73.6052017173,0,3530
3531,Hasnadi,16.4694319825,73.6057647854,0,3531
3532,Dabolim Airport Terminal,15.3854155064,73.8372286837,0,3532
3533,Kubalwadi,15.6954407038,73.9639601666,0,3533
3534,Kubalwadi,15.6950688669,73.9636963861,0,3534
3535,Mokhard,15.0050793811,74.075622359,0,3535
3536,Mokhard,15.005027566,74.0755792438,0,3536
3537,Natangini,14.9977322098,74.0854763795,0,3537
3538,Natangini,14.9975923042,74.0852280701,0,3538
3539,Kalsar,14.9747447504,74.0460301325,0,3539
3540,Kalsar,14.9746981101,74.0454331336,0,3540
3541,Khatyebag,14.9701019393,74.0572783941,0,3541
3542,Khatyebag,14.9694852382,74.0574967833,0,3542
3543,Mahalwada,14.9736860454,74.064642825,0,3543
3544,Vetal Temple,14.9726979576,74.0716380261,0,3544
3545,Devki Temple,14.9714268219,74.0754529537,0,3545
3546,Loliem Peddem,14.9347085582,74.0973638875,0,3546
3547,Karashirmol Health Center,15.0499913235,73.9970427918,0,3547
3548,Vaile Agond,15.041612746,74.0034934956,0,3548
3549,Yeda,14.9982930226,74.1968929892,0,3549
3550,Baddem,15.0128357522,74.1748916112,0,3550
3551,Avali,15.0251553229,74.1663801794,0,3551
3552,Sabolewada,15.0193594101,74.1679822408,0,3552
3553,Mallikarjun Temple Avali,15.023148532,74.1681180836,0,3553
3554,Monnem,14.9944445063,74.1518137264,0,3554
3555,Satorli,15.0180444139,74.1373742285,0,3555
3556,Ziltawadi,15.0226452632,74.1309798422,0,3556
3557,Gaodongri School,15.0336182619,74.1248267747,0,3557
3558,Satnaruk,15.0137448824,74.0970855759,0,3558
3559,Surla Workshop junction,15.5119060779,74.0449141149,0,3559
3560,Poklemol,15.2673144709,74.0372696146,0,3560
3561,Marmagao Steel,15.2691153966,74.0282323026,0,3561
3562,Raitolem,15.272116905,74.0183295869,0,3562
3563,Davorlim Chapel,15.2699879276,73.9942475907,0,3563
3564,Davorlim,15.2696498009,73.9880598918,0,3564
3565,Bhagwati Tiles,15.2713075316,74.0027305537,0,3565
3566,Khadde,15.1120307733,74.0422714689,0,3566
3567,Patnem,14.9988422131,74.0355600614,0,3567
3568,Gokuldem,15.073871002,74.0758733508,0,3568
3569,Shirle,15.0757495475,74.0635926329,0,3569
3570,Coprimoddi,15.259914284,74.0680788649,0,3570
3571,Coprimoddi,15.2602869037,74.0677074032,0,3571
3572,Xelvona Railway Gate,15.2654931599,74.0852235449,0,3572
3573,Gadeabhatti,15.2737612213,74.0120852124,0,3573
3574,Gaali,14.9660254169045,74.0913050732415,0,3574
3575,Cotigao Wildlife Sanctuary,14.9843874186433,74.1086227740452,0,3575
3576,Tomlib Gardens,15.6909954808705,73.7668556668688,0,3576
3577,Mudkud,15.0623678721219,73.9964323295104,0,3577
3578,Tiskon,15.0837071232969,74.0951289703166,0,3578
3579,Vaizwada,15.0000160172946,74.0584222001643,0,3579
3580,Asali,15.0012125902714,74.0736255484192,0,3580
3585,Mermaid Garden,15.5004513,73.8302719,0,3585
3586,Old Secretariat A,15.5009351,73.8294084,0,3586
3587,Old Secretariat B,15.5008234,73.8306613,0,3587
3589,Panaji Ferry Terminal B,15.5011100307112,73.825282628836,0,3589
3591,Panjim Promenade A,15.5002246672665,73.8215430484795,0,3591
3592,Azad Maidan,15.4997603,73.8259917,0,3592
3594,Children's Park B,15.4979162018042,73.8196012503319,0,3594
3595,Panjim Market,15.4984665,73.821943,0,3595
3596,Geeta Bakery,15.4984638,73.8248258,0,3596
3597,Don Bosco Oratory,15.4969667,73.8223792,0,3597
3598,Pharmacy College A,15.4948522,73.8211201,0,3598
3599,Pharmacy College B,15.4952275,73.8213824,0,3599
3600,St. Inez Circle A,15.493588,73.8202275,0,3600
3601,St. Inez Circle B,15.493623,73.8201187,0,3601
3602,St. Inez Circle C,15.4933009,73.8209838,0,3602
3603,Old Educational Department,15.4957636537837,73.8223141756714,0,3603
3604,Junta House,15.4968615,73.824235,0,3604
3605,Bombay Bazar,15.497767,73.8259095,0,3605
3606,Panaji Corporation,15.4983537,73.8269351,0,3606
3609,Fountainhas,15.4976324,73.8322532,0,3609
3610,Patto Colony,15.49873568,73.8333834,0,3610
3611,Paryatan Bhavan,15.4975409,73.8337201,0,3611
3612,Patto Circle,15.4956316,73.8346004,0,3612
3613,Central Library,15.4936711,73.8336362,0,3613
3615,Multi-level car park,15.4988020010061,73.8365862838532,0,3615
3616,Portuguese Consulate A,15.4946549,73.8270829,0,3616
3623,Kala Academy A,15.4941811339769,73.8185375810898,0,3623
3624,Dayanand Bandodkar Ground B,15.491860675224,73.8166421688361,0,3624
3626,Parade Ground B,15.4886230849091,73.8136694380334,0,3626
3628,Caculo Mall Circle A,15.4871988,73.8174139,0,3628
3629,St. Inez Church A,15.4910883304606,73.8201805306885,0,3629
3633,Parade Ground C,15.489118,73.8150141,0,3633
3634,Music College,15.4855685,73.8268788,0,3634
3635,Joggers Park,15.4874346,73.8274164,0,3635
3637,Mala A,15.491654158854,73.8320998009349,0,3637
3638,Four Pillars Junction A,15.4877961,73.8320511,0,3638
3640,St. Cruz Football Ground A,15.4807869,73.843745,0,3640
3644,St. Agostinho Junction A,15.4702117,73.8463598,0,3644
